FIPS,Dems,Repub
24043,25462,33381
24045,18697,21234
24047,11132,15322
25001,73503,55570
25003,49415,14851
25005,146311,90284
25007,7892,2438
25009,208323,136905
25011,27818,9528
25013,120021,70923
25015,56847,20569
25017,462226,245215
25019,4059,1863
25021,199833,136573
25023,131457,112681
25025,202148,55142
25027,201230,151742
26001,2896,3404
26003,2472,2188
26005,23526,29526
26007,7705,7125
26009,6079,7506
26011,4155,3807
26013,1725,1846
26015,13449,16431
26017,32589,23794
26019,5461,4687
26021,40376,36128
26023,8412,9534
26025,34550,28538
26027,12080,11112
26029,6817,7306
26031,6721,6919
26033,8169,8249
26035,7496,6793
26037,20001,19724
26039,3440,3558
26041,9976,8763
26043,5995,7049
26045,30736,25898
26047,8515,9315
26049,143919,72445
26051,6590,6391
26053,4757,3330
26055,23255,24713
26057,9102,8324
26059,8765,11221
26061,7473,8100
26063,8367,8434
26065,95698,47143
26067,14808,15850
26069,7307,6583
26071,3080,2947
26073,16679,11220
26075,37480,35692
26077,73407,48411
26079,3780,4527
26081,149855,148305
26083,610,756
26085,2919,2269
26087,21457,22831
26089,7354,6937
26091,24638,22223
26093,42346,55581
26095,1191,1490
26097,3027,3268
26099,223754,187645
26101,7234,5506
26103,19630,12902
26105,7816,7146
26107,9099,9235
26109,5980,4855
26111,20742,22285
26113,2898,4469
26115,39180,35852
26117,13208,13291
26119,2403,2841
26121,53400,28855
26123,10788,11862
26125,372694,276881
26127,6405,5860
26129,5391,5133
26131,1966,1823
26133,4848,5966
26135,1887,2320
26137,5634,6752
26139,51925,84823
26141,3719,3605
26143,7082,6727
26145,60260,42218
26151,9047,10678
26153,2184,2058
26155,18015,15054
26147,40676,38555
26149,12311,12876
26157,13503,13739
26159,18589,15535
26161,130547,53943
26163,656303,216880
26165,7357,8044
27001,4595,4589
27003,86977,91357
27005,7687,8851
27007,12019,9762
27009,8452,10338
27011,1552,1362
27013,19325,14782
27015,5808,7454
27017,11501,6549
27019,20654,28157
27021,7276,8660
27023,3277,2906
27025,12782,15788
27027,16666,11978
27029,1877,2291
27031,2019,1240
27033,2759,3157
27035,15859,18566
27037,116778,104365
27039,4463,5468
27041,9255,11241
27043,3736,4197
27045,5921,4993
27047,9915,6955
27049,12420,12775
27051,1850,1646
27053,420958,231057
27055,5906,4743
27057,4872,6559
27059,8248,11325
27061,13461,10309
27063,2618,2858
27065,3742,4479
27067,10123,11318
27069,1492,1016
27071,3649,2962
27073,2160,1913
27075,4174,2636
27077,971,1278
27079,6994,7636
27081,1517,1491
27083,6110,6315
27087,1436,843
27089,2311,2285
27091,4413,6053
27085,7505,10993
27093,5379,6737
27095,6073,7049
27097,6547,9734
27099,11605,7075
27101,2345,2320
27103,9887,7968
27105,4244,4368
27107,2129,1204
27109,38711,36202
27111,13856,18077
27113,3394,3248
27115,7084,6862
27117,2021,2652
27119,7849,7148
27121,3317,3068
27123,182972,88942
27125,1119,983
27127,3250,4308
27129,3904,3956
27131,17381,13723
27133,2078,2773
27135,3096,4437
27139,29209,36726
27141,17960,26143
27143,2998,4492
27137,77332,38730
